,verse ref,verse id,family 1,family 2,ms 1,ms 2,transription 1,transription 2,normalized transription 1,normalized transription 2,length 1,length 2,length min,length max,length average,levenshtein,damerau_levenshtein,ratcliff_obershelp,jaro,nw_matches,nw_mismatches,nw_gaps,nw_gap_extensions
10,Luke 15:14,25671,A,A,Arbache - Sinai ar. 72,Sinai ar. 54 (A),فلما انفق كل ما كان له صار جوع شديد فى تلك البلده وبدا ينتقص ❊,فلما ان انفق كل ما كان له صار جوع شديد فى تلك البلده وبدا ينتقص,فلما انفق كل ما كان له صار جوع شديد فا تلك البلده وبدا ينتقص,فلما ان انفق كل ما كان له صار جوع شديد فا تلك البلده وبدا ينتقص,60,63,60,63,61.5,95.23809523809523,95.23809523809523,97.5609756097561,85.91269841269842,60,0,1,2
11,Luke 15:15,25672,A,A,Arbache - Sinai ar. 72,Sinai ar. 54 (A),فذهب والتزق الى احد اشراف تلك البلده فارسله الى حقوله يرعا خنازير,فذهب والتزق بمديني واحد من تلك البلده وارسله الي حقوله يرعا خنازير ⦿,فذهب والتزق الا احد اشراف تلك البلده فارسله الا حقوله يرعا خنازير,فذهب والتزق بمدينا واحد من تلك البلده وارسله الا حقوله يرعا خنازير,65,66,65,66,65.5,81.81818181818183,81.81818181818183,87.02290076335878,78.77888193677668,57,5,3,4
12,Luke 15:16,25673,A,A,Arbache - Sinai ar. 72,Sinai ar. 54 (A),وكان يشتهى يملا بطنه من الخروب الذى كانت تاكل الخنازير ولم يكُن احد يعطيه,وكان يشتهي يملا بطنه من الخروب الذي كانت تاكل الخنازير ولم يكون احد يعطيه ⦿,وكان يشتها يملا بطنه من الخروب الذا كانت تاكل الخنازير ولم يكن احد يعطيه,وكان يشتها يملا بطنه من الخروب الذا كانت تاكل الخنازير ولم يكون احد يعطيه,72,73,72,73,72.5,98.63013698630137,98.63013698630137,99.3103448275862,99.54337899543378,72,0,1,0
13,Luke 15:17,25674,A,A,Arbache - Sinai ar. 72,Sinai ar. 54 (A),فاقبل على نفسه يقول كيف اجرا ابي يفضلون الخبز وانا هاهنا اهلك جوعا ❊,فاقبل علي نفسه وقال كيف اجرا ابي يفضلون الخبز وانا هاهنا اهلك جوعا,فاقبل علا نفسه يقول كيف اجرا ابا يفضلون الخبز وانا هاهنا اهلك جوعا,فاقبل علا نفسه وقال كيف اجرا ابا يفضلون الخبز وانا هاهنا اهلك جوعا,66,66,66,66,66.0,96.96969696969697,96.96969696969697,96.96969696969697,88.98989898989899,64,2,0,0
14,Luke 15:18,25675,A,A,Arbache - Sinai ar. 72,Sinai ar. 54 (A),اقوم وانصرف الى ابي واقول له يابتاه قد اخطيت فى السما وقدامك,اقوم وانصرف الي ابي واقول له يابتاه قد اخطيت في السما وقدامك,اقوم وانصرف الا ابا واقول له يابتاه قد اخطيت فا السما وقدامك,اقوم وانصرف الا ابا واقول له يابتاه قد اخطيت فا السما وقدامك,60,60,60,60,60.0,100.0,100.0,100.0,100.0,60,0,0,0
15,Luke 15:19,25676,A,A,Arbache - Sinai ar. 72,Sinai ar. 54 (A),وليست باهل ان ادعا لك ابنا اجعلنى كواحد من اجراك,ولست باهل ان ادعا لك ابنا اصنعني كواحد من اجراك ⦿,وليست باهل ان ادعا لك ابنا اجعلنا كواحد من اجراك,ولست باهل ان ادعا لك ابنا اصنعنا كواحد من اجراك,48,47,47,48,47.5,91.66666666666666,91.66666666666666,94.73684210526315,94.64637509850277,44,3,1,0
16,Luke 15:20,25677,A,A,Arbache - Sinai ar. 72,Sinai ar. 54 (A),فقام وجا الى ابيه ❊ فبين ان هو بعيد ابصره ابوه فتحنن عليه فاحضر وسقط على عنقه وقبله,فقام وجا الي ابوه ⦿ فبين ان هو بعيد ابصره ابوه فتحنن عليه واحضر وسقط علي عنقه وقبله ⦿,فقام وجا الا ابيه فبين ان هو بعيد ابصره ابوه فتحنن عليه فاحضر وسقط علا عنقه وقبله,فقام وجا الا ابوه فبين ان هو بعيد ابصره ابوه فتحنن عليه واحضر وسقط علا عنقه وقبله,81,81,81,81,81.0,97.53086419753086,97.53086419753086,97.53086419753086,92.657706933375,79,2,0,0
17,Mark 13:5,24791,A,A,Arbache - Sinai ar. 72,Sinai ar. 54 (A),اجاب يسوع وبدا يقول لهم انظروا ان لا يطغيكم احدا,اجاب يسوع وبدا يقول لهم انظروا ان لا يطغيكم احدا,اجاب يسوع وبدا يقول لهم انظروا ان لا يطغيكم احدا,اجاب يسوع وبدا يقول لهم انظروا ان لا يطغيكم احدا,48,48,48,48,48.0,100.0,100.0,100.0,100.0,48,0,0,0
18,Mark 13:6,24792,A,A,Arbache - Sinai ar. 72,Sinai ar. 54 (A),لان كثيرين ياتون على اسمى قايلين اني انا هو فيطغون كثيرين ❊,لان كثيرين ياتون علي اسمي قايلين اني انا هو فيطغون كثير ⦿,لان كثيرين ياتون علا اسما قايلين انا انا هو فيطغون كثيرين,لان كثيرين ياتون علا اسما قايلين انا انا هو فيطغون كثير,57,55,55,57,56.0,96.49122807017544,96.49122807017544,98.21428571428571,98.83040935672514,55,0,1,1
19,Mark 13:7,24793,A,A,Arbache - Sinai ar. 72,Sinai ar. 54 (A),فاذا سمعتم بحِروب واخبار حِروب فلا ترهبوا لان ذلك ينبغى ان يكون ولكن ليس هو الانقضا ❊,فاذا سمعتم بحروب واخبار حروب فلا ترهبوا لان ذلك ينبغي ان يكون ولاكن ليس هو الانقضا ⦿,فاذا سمعتم بحروب واخبار حروب فلا ترهبوا لان ذلك ينبغا ان يكون ولكن ليس هو الانقضا,فاذا سمعتم بحروب واخبار حروب فلا ترهبوا لان ذلك ينبغا ان يكون ولاكن ليس هو الانقضا,81,82,81,82,81.5,98.78048780487805,98.78048780487805,99.38650306748467,96.09555354812808,81,0,1,0
20,Mark 13:8,24794,A,A,Arbache - Sinai ar. 72,Sinai ar. 54 (A),تقوم امه على امه وملك على ملك ويكون زلازل فى اماكن اماكن ويكون جوع واستجاس وهذا كله ابتدا التمخض ❊,تقوم امه علي امه وملك علي ملك ويكون زلازل في اماكن اماكن ويكون جوع واسجاس وهذا كله ابتدا التمخض ⦿,تقوم امه علا امه وملك علا ملك ويكون زلازل فا اماكن اماكن ويكون جوع واستجاس وهذا كله ابتدا التمخض,تقوم امه علا امه وملك علا ملك ويكون زلازل فا اماكن اماكن ويكون جوع واسجاس وهذا كله ابتدا التمخض,96,95,95,96,95.5,98.95833333333334,98.95833333333334,99.47643979057592,95.79312865497077,95,0,1,0
21,Mark 13:9,24795,A,A,Arbache - Sinai ar. 72,Sinai ar. 54 (A),انظروا وانتم لانفسكم انهم يسلموكم للشيع وفى المجامع تُضربوا وتقفوا بين يدى قواد وملوك من اجلى شهاده لهم ❊,انظروا انتم لانفسكم انهم يسلموكم للشيع وفي المجامع تضربوا ⦿ وتقفوا بين يدي قواد وملوك منجلى شهاده لهم ⦿,انظروا وانتم لانفسكم انهم يسلموكم للشيع وفا المجامع تضربوا وتقفوا بين يدا قواد وملوك من اجلا شهاده لهم,انظروا انتم لانفسكم انهم يسلموكم للشيع وفا المجامع تضربوا وتقفوا بين يدا قواد وملوك منجلا شهاده لهم,102,99,99,102,100.5,97.05882352941177,97.05882352941177,98.50746268656717,84.70984353337295,99,0,2,1
22,Mark 13:10,24796,A,A,Arbache - Sinai ar. 72,Sinai ar. 54 (A),وفى كل الامم اولا ينبغى ان يكرز الانجيل,وفي جميع الامم اولا ينبغي يكرز الانجيل ⦿,وفا كل الامم اولا ينبغا ان يكرز الانجيل,وفا جميع الامم اولا ينبغا يكرز الانجيل,39,38,38,39,38.5,82.05128205128204,82.05128205128204,88.31168831168831,83.88439046333784,34,2,2,3
23,Mark 13:11,24797,A,A,Arbache - Sinai ar. 72,Sinai ar. 54 (A),فاذا اتوا بكم ليسلمونكم فلا تبدوا تهتموا ما تتكلموا او ما تتلوا ولكن الذى اعطيكم فى تلك الساعه اياه تكلموا لانكم ليس انتم المتكلمين ولكن روح القُدس ❊,فاذا اتوا بكم ليسلموكم فلا تبدوا تهتموا ما تتكلموا وما تتلون ولاكن الذي اعطيكم في تلك الساعه اياه تكلموا لانكم ليس انتم المتكلمين ولاكن روح القدس ⦿,فاذا اتوا بكم ليسلمونكم فلا تبدوا تهتموا ما تتكلموا او ما تتلوا ولكن الذا اعطيكم فا تلك الساعه اياه تكلموا لانكم ليس انتم المتكلمين ولكن روح القدس,فاذا اتوا بكم ليسلموكم فلا تبدوا تهتموا ما تتكلموا وما تتلون ولاكن الذا اعطيكم فا تلك الساعه اياه تكلموا لانكم ليس انتم المتكلمين ولاكن روح القدس,146,145,145,146,145.5,95.8904109589041,95.8904109589041,97.59450171821305,86.32341363564794,142,1,5,0
24,Luke 8:9,25323,A,A,Arbache - Sinai ar. 72,Sinai ar. 54 (A),فسايلوه تلاميذه قايلين ما هذا المثل,فسالوه تلاميذه قايلين ما هذا المثل ⦿,فسايلوه تلاميذه قايلين ما هذا المثل,فسالوه تلاميذه قايلين ما هذا المثل,35,34,34,35,34.5,97.14285714285714,97.14285714285714,98.55072463768117,90.71428571428571,34,0,1,0
25,Luke 8:10,25324,A,A,Arbache - Sinai ar. 72,Sinai ar. 54 (A),وانه قال لكم اعطى علم سراير الله فاما للبقيه فبمثل لكى يبصروا ولا يبصروا ❊ ويسمعوا ولا يسمعوا ولا يفهموا ❊,وانه قال لكم اعطي علم سراير ملك الله فاما للبقيه فبامثال ⦿ لكي يبصروا ولا يبصروا ويسمعوا ولا يسمعوا ولا يفهموا ܀,وانه قال لكم اعطا علم سراير الله فاما للبقيه فبمثل لكا يبصروا ولا يبصروا ويسمعوا ولا يسمعوا ولا يفهموا,وانه قال لكم اعطا علم سراير ملك الله فاما للبقيه فبامثال لكا يبصروا ولا يبصروا ويسمعوا ولا يسمعوا ولا يفهموا,102,108,102,108,105.0,94.44444444444444,94.44444444444444,97.14285714285714,86.22004357298475,102,0,3,3
26,Luke 8:11,25325,A,A,Arbache - Sinai ar. 72,Sinai ar. 54 (A),هذا هو المثل ان الزرع هو كلمه الله,هذا هو المثل ان الزرع هو كلمه الله,هذا هو المثل ان الزرع هو كلمه الله,هذا هو المثل ان الزرع هو كلمه الله,34,34,34,34,34.0,100.0,100.0,100.0,100.0,34,0,0,0
27,Luke 8:12,25326,A,A,Arbache - Sinai ar. 72,Sinai ar. 54 (A),والذين على الطريق هم الذين يسمعون الكلمه فياتي الشيطان فياخذ الكلمه من قلوبهم لكى لا يومنوا فيخلصوا ❊,والذي علي الطريق هم الذين يسمعون الكلمه فياتي الشيطان وياخذ الكلمه من قلوبهم لكي لا يومنوا فيخلصوا ⦿,والذين علا الطريق هم الذين يسمعون الكلمه فياتا الشيطان فياخذ الكلمه من قلوبهم لكا لا يومنوا فيخلصوا,والذا علا الطريق هم الذين يسمعون الكلمه فياتا الشيطان وياخذ الكلمه من قلوبهم لكا لا يومنوا فيخلصوا,99,98,98,99,98.5,96.96969696969697,96.96969696969697,97.46192893401016,82.51101576994434,96,2,1,0
28,Luke 8:13,25327,A,A,Arbache - Sinai ar. 72,Sinai ar. 54 (A),واما الذى على الصخر فهم الذين سمعوا قبلوا الكلمه بفرح وليس لهاولى ثبات الذين يومنون الى زمن وفى زمن البلايا يبتعدوا ❊,واما الذي علي الصخر فهم الذين اذا سمعوا يقبلوا الكلمه بفرح وليس لهولاي اصل الذين انما يومنوا الي زمن وفي زمن البلايا يتنحوا ⦿,واما الذا علا الصخر فهم الذين سمعوا قبلوا الكلمه بفرح وليس لهاولا ثبات الذين يومنون الا زمن وفا زمن البلايا يبتعدوا,واما الذا علا الصخر فهم الذين اذا سمعوا يقبلوا الكلمه بفرح وليس لهولاا اصل الذين انما يومنوا الا زمن وفا زمن البلايا يتنحوا,115,123,115,123,119.0,83.73983739837398,83.73983739837398,89.49579831932773,83.61056251168813,107,4,8,8
29,Luke 8:14,25328,A,A,Arbache - Sinai ar. 72,Sinai ar. 54 (A),فاما الذى سقط فى الشوك هم هاولى الذين اذا سمعوا الكلمه وهم فى هموم وغنا ولذات الدنيا ذاهبين يختنقوا ولا تنموا ثمرتهم ❊,فاما الذي سقط في الشوك هم هولاي الذين اذا سمعوا الكلمه وهم في هموم وغنا ولذات الدنيا ذاهبين يختنقوا ولا يثمروا ثمرتهم ⦿,فاما الذا سقط فا الشوك هم هاولا الذين اذا سمعوا الكلمه وهم فا هموم وغنا ولذات الدنيا ذاهبين يختنقوا ولا تنموا ثمرتهم,فاما الذا سقط فا الشوك هم هولاا الذين اذا سمعوا الكلمه وهم فا هموم وغنا ولذات الدنيا ذاهبين يختنقوا ولا يثمروا ثمرتهم,116,117,116,117,116.5,95.72649572649573,95.72649572649573,96.99570815450643,97.25479702793677,113,2,3,0
30,Luke 8:15,25329,A,A,Arbache - Sinai ar. 72,Sinai ar. 54 (A),فاما الذى فى الارض الصالحه هم هاولى الذين يسمعوا بقلب طيب صلح الكلمه فيحفظوها ويثمروا بالصبر ❊,فاما الذي في الارض الصالحه هم هولاي الذين يسمعون الكلمه بقلب صالح طيب فيحفظوها ويثمروا بالصبر ⦿,فاما الذا فا الارض الصالحه هم هاولا الذين يسمعوا بقلب طيب صلح الكلمه فيحفظوها ويثمروا بالصبر,فاما الذا فا الارض الصالحه هم هولاا الذين يسمعون الكلمه بقلب صالح طيب فيحفظوها ويثمروا بالصبر,92,93,92,93,92.5,80.64516129032258,80.64516129032258,83.24324324324324,95.29375097397538,81,3,7,10
31,John 6:30,26356,A,A,Arbache - Sinai ar. 72,Sinai ar. 54 (A),فقالوا له اي علامه تصنع انت حتى نرا ونومن ماذا تصنع,فقالوا له اي علامه تصنع انت حتي نرا ونومن ماذا تصنع ܀,فقالوا له اا علامه تصنع انت حتا نرا ونومن ماذا تصنع,فقالوا له اا علامه تصنع انت حتا نرا ونومن ماذا تصنع,51,51,51,51,51.0,100.0,100.0,100.0,100.0,51,0,0,0
32,John 6:31,26357,A,A,Arbache - Sinai ar. 72,Sinai ar. 54 (A),ان اباينا قد اكلوا المن فى البريه كما هو مكتوب انه اعطاهم خبز من السما ياكلوا ❊,ان ابانا قد اكلوا المن في البريه كما هو مكتوب انه اعطاهم خبز من السما ياكلوا ⦿,ان اباينا قد اكلوا المن فا البريه كما هو مكتوب انه اعطاهم خبز من السما ياكلوا,ان ابانا قد اكلوا المن فا البريه كما هو مكتوب انه اعطاهم خبز من السما ياكلوا,77,76,76,77,76.5,98.7012987012987,98.7012987012987,99.34640522875817,94.08464342674868,76,0,1,0
33,John 6:32,26358,A,A,Arbache - Sinai ar. 72,Sinai ar. 54 (A),فقال لهم يسوع امين امين اقول لكم انه ليس اعطاكم موسى الخبز من السما ولكن ابي اعطاكم خبز الحق من السما,فقال لهم يسوع امين امين اقول لكم انه ليس موسي اعطاكم الخبز من السما ولاكن ابي يعطيكم خبز الحق من السما,فقال لهم يسوع امين امين اقول لكم انه ليس اعطاكم موسا الخبز من السما ولكن ابا اعطاكم خبز الحق من السما,فقال لهم يسوع امين امين اقول لكم انه ليس موسا اعطاكم الخبز من السما ولاكن ابا يعطيكم خبز الحق من السما,101,102,101,102,101.5,87.25490196078431,87.25490196078431,92.61083743842364,92.51637222545784,94,2,3,8
34,John 6:33,26359,A,A,Arbache - Sinai ar. 72,Sinai ar. 54 (A),لان خبز الله هو الذى نزل من السما ويُعطى حياه للعالم ❊,لان خبز الله هو الذي ينزل من السما ويعطي حياه للعالم ⦿,لان خبز الله هو الذا نزل من السما ويعطا حياه للعالم,لان خبز الله هو الذا ينزل من السما ويعطا حياه للعالم,51,52,51,52,51.5,98.07692307692307,98.07692307692307,99.02912621359224,92.49622926093514,51,0,1,0
35,John 6:34,26360,A,A,Arbache - Sinai ar. 72,Sinai ar. 54 (A),قالوا له يا رب اعطنا هذا الخبز فى كل حين,قالوا له يا رب اعطينا من هذا الخبز في كل حين ⦿,قالوا له يا رب اعطنا هذا الخبز فا كل حين,قالوا له يا رب اعطينا من هذا الخبز فا كل حين,40,44,40,44,42.0,90.9090909090909,90.9090909090909,95.23809523809523,88.63636363636364,40,0,2,2
36,John 6:35,26361,A,A,Arbache - Sinai ar. 72,Sinai ar. 54 (A),قال لهم يسوع انا هو خبز الحياه والذى ياتى الي لا يجوع والذى يومن بي لا يعطش ابدا,فقال لهم يسوع انا هو خبز الحياه الذي ياتي الي لا يجوع والذي يومن بي لا يعطش ابدا,قال لهم يسوع انا هو خبز الحياه والذا ياتا الا لا يجوع والذا يومن با لا يعطش ابدا,فقال لهم يسوع انا هو خبز الحياه الذا ياتا الا لا يجوع والذا يومن با لا يعطش ابدا,80,80,80,80,80.0,97.5,97.5,98.75,92.83755274261604,79,0,2,0
37,John 18:26,26880,A,A,Arbache - Sinai ar. 72,Sinai ar. 74 (A),فقال له واحد من عبيد راس الكهنه نسيب للذي قطع بطرس اذنه اليس انا رايتك فى البستان معه ❊,فقال واحد من عبيد راس الكهنه نسيب كان للذي قطع بطرس اذنه. اليس انا رايتك في البستان معه.,فقال له واحد من عبيد راس الكهنه نسيب للذا قطع بطرس اذنه اليس انا رايتك فا البستان معه,فقال واحد من عبيد راس الكهنه نسيب كان للذا قطع بطرس اذنه اليس انا رايتك فا البستان معه,85,86,85,86,85.5,91.86046511627907,91.86046511627907,95.90643274853801,83.19345782583136,82,0,2,5
38,John 18:27,26881,A,A,Arbache - Sinai ar. 72,Sinai ar. 74 (A),فكفر بطرس ايضا وسوا صاح الديك,فكفر ايضا بطرس وسوا صاح الديك.,فكفر بطرس ايضا وسوا صاح الديك,فكفر ايضا بطرس وسوا صاح الديك,29,29,29,29,29.0,72.41379310344827,72.41379310344827,82.75862068965517,95.40229885057472,24,0,2,8
39,John 6:34,26360,A,A,Arbache - Sinai ar. 72,Sinai ar. 74 (A),قالوا له يا رب اعطنا هذا الخبز فى كل حين,قالوا له. يا رب اعطينا من هذا الخبز في كل حين.,قالوا له يا رب اعطنا هذا الخبز فا كل حين,قالوا له يا رب اعطينا من هذا الخبز فا كل حين,40,44,40,44,42.0,90.9090909090909,90.9090909090909,95.23809523809523,88.63636363636364,40,0,2,2
40,John 6:35,26361,A,A,Arbache - Sinai ar. 72,Sinai ar. 74 (A),قال لهم يسوع انا هو خبز الحياه والذى ياتى الي لا يجوع والذى يومن بي لا يعطش ابدا,فقال لهم يسوع انا هو خبز الحياة الذي ياتي الي لا يجوع. والذي يومن بي لا يعطش ابدا.,قال لهم يسوع انا هو خبز الحياه والذا ياتا الا لا يجوع والذا يومن با لا يعطش ابدا,فقال لهم يسوع انا هو خبز الحياه الذا ياتا الا لا يجوع والذا يومن با لا يعطش ابدا,80,80,80,80,80.0,97.5,97.5,98.75,92.83755274261604,79,0,2,0
41,Mark 6:14,24490,A,A,Arbache - Sinai ar. 72,Sinai ar. 74 (A),وسمع هروذس الملك لان اسمه كان قد ظهر فقال ان يحنا المصبغ قام من الموتا ولذلك القوات تعمل به ❊,وسمع هرودس الملك. لان اسمه كان قد ظهر. فقال ان يحنا المصبغ قام من الموتا. فلذلك القوات تعمل به,وسمع هروذس الملك لان اسمه كان قد ظهر فقال ان يحنا المصبغ قام من الموتا ولذلك القوات تعمل به,وسمع هرودس الملك لان اسمه كان قد ظهر فقال ان يحنا المصبغ قام من الموتا فلذلك القوات تعمل به,91,91,91,91,91.0,97.8021978021978,97.8021978021978,97.8021978021978,92.54228917150266,89,2,0,0
42,Mark 6:15,24491,A,A,Arbache - Sinai ar. 72,Sinai ar. 74 (A),اخرين قالوا هو ايلياس ❊ واخرين قالوا انه نبى كواحد من الانبيا ❊,واخرين قالوا انه هو الياس. واخرين قالوا انه نبي كواحد من الانبيا.,اخرين قالوا هو ايلياس واخرين قالوا انه نبا كواحد من الانبيا,واخرين قالوا انه هو الياس واخرين قالوا انه نبا كواحد من الانبيا,59,63,59,63,61.0,90.47619047619048,90.47619047619048,95.08196721311475,81.55964054561366,58,0,3,3
43,Mark 6:16,24492,A,A,Arbache - Sinai ar. 72,Sinai ar. 74 (A),فلما سمع هروذس قال يحنا الذى انا قطعت راسه هو قام من الموتا,فلما سمع هرودس قال يحنا الذي انا قطعت راسه هو قام من الموتا.,فلما سمع هروذس قال يحنا الذا انا قطعت راسه هو قام من الموتا,فلما سمع هرودس قال يحنا الذا انا قطعت راسه هو قام من الموتا,59,59,59,59,59.0,98.30508474576271,98.30508474576271,98.30508474576271,94.84706799142802,58,1,0,0
44,Mark 6:17,24493,A,A,Arbache - Sinai ar. 72,Sinai ar. 74 (A),لان هروذس هو كان بعث فاخذ يحنا واوثقه فى الحبس من اجل هروذياس مره فيلبس اخوه لانه تزوجها ❊,لان هرودس هو كان بعث فاخذ يحنا فاوثقه في الحبس. منجل هروديه مره فيلبس اخيه. لانه تزوجها ⦿,لان هروذس هو كان بعث فاخذ يحنا واوثقه فا الحبس من اجل هروذياس مره فيلبس اخوه لانه تزوجها,لان هرودس هو كان بعث فاخذ يحنا فاوثقه فا الحبس منجل هروديه مره فيلبس اخيه لانه تزوجها,88,85,85,88,86.5,90.9090909090909,90.9090909090909,92.48554913294798,84.38391265597147,80,5,2,1
45,Mark 6:18,24494,A,A,Arbache - Sinai ar. 72,Sinai ar. 74 (A),لان يحنا كان يقول لهروذس بانه لا يحل لك ان تتخذ مره اخيك ❊,لان يحنا كان يقول لهرودس. انه ليس يحل لك ان تتخذ مرة اخيك.,لان يحنا كان يقول لهروذس بانه لا يحل لك ان تتخذ مره اخيك,لان يحنا كان يقول لهرودس انه ليس يحل لك ان تتخذ مره اخيك,56,56,56,56,56.0,92.85714285714286,92.85714285714286,94.64285714285714,88.56693620844564,53,2,2,0
